state_abb,state,election_date,partyname_gerda,partyname_short,vshare_opt1,vshare_opt2,vshare_opt3,party_vshare
BB,12,1990-10-14,spd,SPD,0.3672853963948151,0.35735175374677514,0.34844343593075394,0.3823939913933995
BB,12,1990-10-14,cdu,CDU,0.3293227145637058,0.28255328856240686,0.27550959990526513,0.29403425370474745
BB,12,1990-10-14,linke_pds,Linke,0.08905591329844142,0.13391233563752616,0.13057407401480553,0.13407896657995175
BB,12,1990-10-14,buendnis_90,Grüne,0.0579210965780479,0.06725978297260571,0.06558308342748143,0.02844636888436038
BB,12,1990-10-14,fdp,FDP,0.06157170548350985,0.06255374808804512,0.06099436391626207,0.06633220975487987
BB,12,1990-10-14,gruene,Grüne (BB 1990),0.04497765851344662,0.04920863120441669,0.04798192356561508,0.06415308507849088
BB,12,1990-10-14,rep,Rep,0.01952907920906419,0.02133183659268303,0.0208000614496353,0.01148514882573753
BB,12,1990-10-14,dsu,DSU,0.01727827659077462,0.01738483959272899,0.01695145798861261,0.00985316028027185
BB,12,1990-10-14,dbu,DBU,0.00840257447089211,0.00578427897145032,0.00564008436522846,0.00342411449510403
BB,12,1990-10-14,dfp,DFP,0.0046555848973023,0.00265950463136196,0.0025932066147972,0.00143103180297447
BB,12,1990-10-14,chr_l,,0,0,0,
BB,12,1990-10-14,domowina,,0,0,0,
BB,12,1990-10-14,npd,NPD,0,0,0,0.00130778880074353
BB,12,1990-10-14,other,,0,0,0,
BB,12,1994-09-11,spd,SPD,0.5466266623135652,0.5024736290298798,0.49162009505682613,0.5414288366157689
BB,12,1994-09-11,cdu,CDU,0.22170593392633808,0.18585928228657897,0.18184468347390215,0.18721683104497217
BB,12,1994-09-11,linke_pds,Linke,0.12213176329088654,0.17771283124511247,0.1738741974543396,0.1871496680562565
BB,12,1994-09-11,other,,0.05040770039155005,0.07227776235467112,0.07071654778759565,
BB,12,1994-09-11,gruene,Grüne,0.02404344510980446,0.02721551232340119,0.02662765164667992,0.02894818095574798
BB,12,1994-09-11,fdp,FDP,0.02232606353806275,0.02129405627366218,0.02083410026833605,0.02195949885216586
BB,12,1994-09-11,rep,Rep,0.01190614487968264,0.01091142425102174,0.01067573523778633,0.01132442615289467
BB,12,1994-09-11,freie_wahler,BürgerBündnis,0.00250709214350836,0.00225550223567252,0.00220678292240541,0.00970598468870421
BB,12,1994-09-11,einzelbewerber,,0,0,0,
BB,12,1999-09-05,spd,SPD,0.3958754946742593,0.39329206508265874,0.3932925540511979,0.3932662651039588
BB,12,1999-09-05,cdu,CDU,0.29895970557153795,0.2645614802861011,0.26456180920766353,0.26546137377989043
BB,12,1999-09-05,linke_pds,Linke,0.1901819769135393,0.23368613170448485,0.233686422239628,0.23341648826154796
BB,12,1999-09-05,dvu,DVU,0.06257581074715306,0.05322187010074211,0.05322193626993896,0.05283845567691135
BB,12,1999-09-05,gruene,Grüne,0.01426369657612178,0.01886909742382178,0.01886912088321957,0.0194219674153634
BB,12,1999-09-05,fdp,FDP,0.01771610390785993,0.01787821183070154,0.01787823405816021,0.01857106571355999
BB,12,1999-09-05,npd,NPD,0.00817371225393795,0.00710279723148803,0.0071028060621884,0.00738143619144381
BB,12,1999-09-05,freie_wahler,FW-BB,0.00573561883667937,0.00552384528260131,0.0055238521502368404,0.00635726985739685
BB,12,1999-09-05,bfb,BFB,0.00269782674416839,0.00318525582129745,0.00318525978143299,0.00328567799992742
BB,12,1999-09-05,other,,0.00382779012009339,0.00267924523610304,0.0026792485671304,
BB,12,1999-09-05,buerger,,0,0,0,
BB,12,1999-09-05,einzelbewerber,,0,0,0,
BB,12,2004-09-19,spd,SPD,0.3018746994826255,0.3190308689604673,0.31905734321491236,0.3190513547247904
BB,12,2004-09-19,linke_pds,Linke,0.27339502426640694,0.27955459595588045,0.27957779433642826,0.27957779433642826
BB,12,2004-09-19,cdu,CDU,0.21166973596020552,0.1942376685833948,0.1942537870783782,0.19425122058261168
BB,12,2004-09-19,dvu,DVU,0.07176239282231814,0.06077727573682257,0.06078231923956441,0.060778897245209
BB,12,2004-09-19,gruene,Grüne,0.0271562408845851,0.03600580322085601,0.03600879110349907,0.03600536910914365
BB,12,2004-09-19,fdp,FDP,0.03470747892202703,0.03326672403734455,0.03326948462198512,0.03327034012057397
BB,12,2004-09-19,familie,Familie,0.03021962670672787,0.02638737525726985,0.02638956497041258,0.02638614297605716
BB,12,2004-09-19,50plus,50Plus,0.008889873859649,0.01012655195952801,0.01012739229486641,0.01015904574265404
BB,12,2004-09-19,afw,FW-BB,0.01170046239697495,0.00938318537287233,0.00938396402115134,0.00941561746893898
BB,12,2004-09-19,graue,Graue,0.00738950143454416,0.00893237502630439,0.00893311626482472,0.00895707022531266
BB,12,2004-09-19,aub_branden_burg,AUB-Brandenburg,0.00649914153800481,0.00852348063226365,0.00852418793935199,0.00854899739842879
BB,12,2004-09-19,brb,BRB,0.00508284118449209,0.00508893880784187,0.00508936110509885,0.00512443654724191
BB,12,2004-09-19,ja,JaZuBrandenburg,0.00402627491206152,0.00349100004619309,0.00349128974111757,0.00351952119454978
BB,12,2004-09-19,offensive_d,PRO (Schill),0.00294832074281391,0.00314369643953923,0.00314395731404241,0.00317133326888577
BB,12,2004-09-19,dkp,DKP,0.00139259776132439,0.00175106030251341,0.00175120561138634,0.00178285905917398
BB,12,2004-09-19,other,,0.00142746045552941,2.9939966090849834e-4,2.994245060992772e-4,
BB,12,2004-09-19,eb,,0,0,0,
BB,12,2009-09-27,spd,SPD,0.3245374251487253,0.33209125211690255,0.33209125211690255,0.3304045014048888
BB,12,2009-09-27,linke_pds,Linke,0.2621950314013571,0.27244494402794145,0.27244494402794145,0.2715532698409041
BB,12,2009-09-27,cdu,CDU,0.2164444763446032,0.1963916096382201,0.1963916096382201,0.19789777939717235
BB,12,2009-09-27,fdp,FDP,0.0706985225213837,0.07163136019860095,0.07163136019860095,0.07209722320234
BB,12,2009-09-27,gruene,Grüne,0.04214373590981019,0.05494703204487008,0.05494703204487008,0.05656279658563773
BB,12,2009-09-27,npd,NPD,0.03391684776688018,0.02736787722130338,0.02736787722130338,0.02559475546581677
BB,12,2009-09-27,freie_wahler,FW-BB,0.01773949427073649,0.01644911676058616,0.01644911676058616,0.01677513570030574
BB,12,2009-09-27,dvu,DVU,0.01459836707022541,0.01220788395577695,0.01220788395577695,0.01145153601656775
BB,12,2009-09-27,50plus,50Plus,0.00533596319412606,0.0053166027882041,0.0053166027882041,0.00569228398484361
BB,12,2009-09-27,rentner,Bündnis21/RRP,0.00441330795832195,0.00463407709651755,0.00463407709651755,0.00496571668051633
BB,12,2009-09-27,die_volks_initiative,Die-Volksinitiative,0.00407798925276128,0.00264674715022827,0.00264674715022827,0.00320582521195746
BB,12,2009-09-27,rep,Rep,0.00259545069522564,0.00235211393144702,0.00235211393144702,0.00225531099816954
BB,12,2009-09-27,dkp,DKP,0.00130338846584348,0.00151938306940139,0.00151938306940139,0.00154386551087978
BB,12,2009-09-27,other,,0,0,0,
BB,12,2014-09-14,spd,SPD,0.3286214159016108,0.3192301498967504,0.3192579560773685,0.31924976780601244
BB,12,2014-09-14,cdu,CDU,0.24978336519486663,0.22972150457812485,0.22974151420957797,0.22974797456956755
BB,12,2014-09-14,linke_pds,Linke,0.1678199221930397,0.1855140655429896,0.18553022453553888,0.18553033917034076
BB,12,2014-09-14,afd,AfD,0.12407513829388606,0.12160868856294174,0.12161928115001414,0.12161900739475814
BB,12,2014-09-14,gruene,Grüne,0.04542880452755882,0.06154567541646707,0.06155103628281207,0.06154735896430847
BB,12,2014-09-14,freie_wahler,FW-BB,0.02593930851541092,0.02465229848098009,0.02465444579151588,0.02665495821521065
BB,12,2014-09-14,npd,NPD,0.02818746990486812,0.01974452432771292,0.01974624415214007,0.02188244755251838
BB,12,2014-09-14,fdp,FDP,0.01397666675796031,0.01454912989802646,0.01455039718350658,0.01456061402522583
BB,12,2014-09-14,piraten,Piraten,0.01192515906387796,0.01139239608957953,0.01139338841133687,0.01478242638412431
BB,12,2014-09-14,other,,0.00134515512106267,0.00844833924609054,0.00844907512911122,
BB,12,2014-09-14,rep,Rep,0.00219281321508882,0.0018107924444989,0.00181095017152372,0.00204999184662333
BB,12,2014-09-14,dkp,DKP,0.00186510011855622,0.00178243551583785,0.00178259077286451,0.00237511407131014
BB,12,2019-09-01,spd,SPD,0.26096264576979405,0.26234156904502565,0.26234156904502565,0.2618262817503039
BB,12,2019-09-01,afd,AfD,0.28171938842791905,0.2356601733802644,0.2356601733802644,0.23514551349847365
BB,12,2019-09-01,cdu,CDU,0.16448399911667075,0.15456662661745793,0.15456662661745793,0.1557086916037075
BB,12,2019-09-01,gruene,Grüne,0.07481006103164708,0.10818817867749758,0.10818817867749758,0.1077885963705808
BB,12,2019-09-01,linke_pds,Linke,0.0942463116796803,0.1070298156461982,0.1070298156461982,0.1071514956059018
BB,12,2019-09-01,freie_wahler,FW-BB,0.04971548242694023,0.0502244735101735,0.0502244735101735,0.05047086963463931
BB,12,2019-09-01,fdp,FDP,0.03797324039614705,0.04080301239464713,0.04080301239464713,0.04083452295696961
BB,12,2019-09-01,tierschutz,Die Tierschutzpartei,0.02371943643936699,0.02612092366436431,0.02612092366436431,0.0260523624107387
BB,12,2019-09-01,piraten,Piraten,0.00615421307314714,0.00691438607166069,0.00691438607166069,0.00688637948124505
BB,12,2019-09-01,odp,ÖDP,0.00435015543176152,0.00572836549607466,0.00572836549607466,0.00572046927293049
BB,12,2019-09-01,v_partei3,VPartei3,0.00186506620692582,0.00242247549663594,0.00242247549663594,0.00241481741450913
BB,12,2019-09-01,other,,0,0,0,
BB,12,2024-09-22,spd,SPD,0.2821016599071159,0.30885275158489156,0.30886632649935336,0.3088666299507398
BB,12,2024-09-22,afd,AfD,0.3430224796045732,0.29227665015182996,0.2922894965017641,0.2922871913581275
BB,12,2024-09-22,bsw,BSW,0.14043625566489243,0.13479636140855575,0.13480228607351824,0.13480183721703043
BB,12,2024-09-22,cdu,CDU,0.1173678749649654,0.12100114538383676,0.12100646371171286,0.12101338621847486
