"","state_gerda","state","election_date","partyname_gerda","partyname_short"
"1","12","BB",1990-10-14,"spd","SPD"
"2","12","BB",1990-10-14,"cdu","CDU"
"3","12","BB",1990-10-14,"linke_pds","Linke"
"4","12","BB",1990-10-14,"buendnis_90","Grüne"
"5","12","BB",1990-10-14,"fdp","FDP"
"6","12","BB",1990-10-14,"gruene","Grüne (BB 1990)"
"7","12","BB",1990-10-14,"rep","Rep"
"8","12","BB",1990-10-14,"dsu","DSU"
"9","12","BB",1990-10-14,"dbu","DBU"
"10","12","BB",1990-10-14,"dfp","DFP"
"11","12","BB",1990-10-14,"npd","NPD"
"12","12","BB",1994-09-11,"spd","SPD"
"13","12","BB",1994-09-11,"cdu","CDU"
"14","12","BB",1994-09-11,"linke_pds","Linke"
"15","12","BB",1994-09-11,"gruene","Grüne"
"16","12","BB",1994-09-11,"fdp","FDP"
"17","12","BB",1994-09-11,"rep","Rep"
"18","12","BB",1994-09-11,"freie_wahler","BürgerBündnis"
"19","12","BB",1999-09-05,"spd","SPD"
"20","12","BB",1999-09-05,"cdu","CDU"
"21","12","BB",1999-09-05,"linke_pds","Linke"
"22","12","BB",1999-09-05,"dvu","DVU"
"23","12","BB",1999-09-05,"gruene","Grüne"
"24","12","BB",1999-09-05,"fdp","FDP"
"25","12","BB",1999-09-05,"npd","NPD"
"26","12","BB",1999-09-05,"freie_wahler","FW-BB"
"27","12","BB",1999-09-05,"bfb","BFB"
"28","12","BB",2004-09-19,"spd","SPD"
"29","12","BB",2004-09-19,"linke_pds","Linke"
"30","12","BB",2004-09-19,"cdu","CDU"
"31","12","BB",2004-09-19,"dvu","DVU"
"32","12","BB",2004-09-19,"gruene","Grüne"
"33","12","BB",2004-09-19,"fdp","FDP"
"34","12","BB",2004-09-19,"familie","Familie"
"35","12","BB",2004-09-19,"50plus","50Plus"
"36","12","BB",2004-09-19,"afw","FW-BB"
"37","12","BB",2004-09-19,"graue","Graue"
"38","12","BB",2004-09-19,"aub_branden_burg","AUB-Brandenburg"
"39","12","BB",2004-09-19,"brb","BRB"
"40","12","BB",2004-09-19,"ja","JaZuBrandenburg"
"41","12","BB",2004-09-19,"offensive_d","PRO (Schill)"
"42","12","BB",2004-09-19,"dkp","DKP"
"43","12","BB",2009-09-27,"spd","SPD"
"44","12","BB",2009-09-27,"linke_pds","Linke"
"45","12","BB",2009-09-27,"cdu","CDU"
"46","12","BB",2009-09-27,"fdp","FDP"
"47","12","BB",2009-09-27,"gruene","Grüne"
"48","12","BB",2009-09-27,"npd","NPD"
