"","state","state_name_en","state_abb_appeldorn_fortunato","state_name_appeldorn_fortunato"
"1","BA","former state Baden",NA,NA
"2","BB","Brandenburg","BB","Brandenburg"
"3","BE","Berlin","BE","Berlin"
"4","BW","Baden-Württemberg","BW","Baden-Wurttemberg"
"5","BY","Bavaria","BY","Bavaria"
"6","HB","Bremen","HB","Bremen"
"7","HE","Hesse","HE","Hesse"
"8","HH","Hamburg","HH","Hamburg"
"9","MV","Mecklenburg-Vorpommern","MV","Mecklenburg-Vorpommern"
"10","NI","Lower-Saxony","NI","Lower Saxony"
"11","NW","North Rhine-Westphalia","NW","North Rhine-Westphalia"
"12","RP","Rhineland-Palatine","RP","Rhineland-Palatinate"
"13","SH","Schleswig-Holstein","SH","Schleswig-Holstein"
"14","SK","Saarland","SL","Saarland"
"15","SN","Saxony","SX","Saxony"
"16","ST","Saxony-Anhalt","SA","Saxony-Anhalt"
"17","TH","Thuringia","TH","Thuringia"
"18","WB","former state Württemberg-Baden",NA,NA
"19","WH","former state Württemberg-Hohenzollern",NA,NA
