"","state","election_date","partyname_short","polidoc_filename","polidoc_filename_2","agwatch_pdf_url","agwatch_election_manifesto"
"1","BE",1975-03-02,"CDU","41521.002.1975.1.1",NA,NA,NA
"2","BE",1975-03-02,"SPD","41320.002.1975.1.1",NA,NA,NA
"3","BE",1975-03-02,"FDP","41420.002.1975.1.1",NA,NA,NA
"4","RP",1975-03-09,"CDU","41521.011.1975.1.1",NA,NA,NA
"5","RP",1975-03-09,"SPD","41320.011.1975.1.1",NA,NA,NA
"6","RP",1975-03-09,"FDP","41420.011.1975.1.1",NA,NA,NA
"7","SH",1975-04-13,"CDU","41521.012.1975.1.1",NA,NA,NA
"8","SH",1975-04-13,"SPD","41320.012.1975.1.1",NA,NA,NA
"9","SH",1975-04-13,"FDP","41420.012.1975.1.1",NA,NA,NA
"10","NW",1975-05-04,"CDU","41521.010.1975.1.1",NA,NA,NA
"11","NW",1975-05-04,"SPD","41320.010.1975.1.1",NA,NA,NA
"12","NW",1975-05-04,"FDP","41420.010.1975.1.1",NA,NA,NA
"13","SL",1975-05-04,"CDU","41521.013.1975.1.1",NA,NA,NA
"14","SL",1975-05-04,"SPD","41320.013.1975.1.1",NA,NA,NA
"15","SL",1975-05-04,"FDP","41420.013.1975.1.1",NA,NA,NA
"16","HB",1975-09-28,"SPD","41320.005.1975.1.1",NA,NA,NA
"17","HB",1975-09-28,"CDU","41521.005.1975.1.1",NA,NA,NA
"18","HB",1975-09-28,"FDP","41420.005.1975.1.1",NA,NA,NA
"19","BW",1976-04-04,"CDU","41521.003.1976.1.1",NA,NA,NA
"20","BW",1976-04-04,"SPD","41320.003.1976.1.1",NA,NA,NA
"21","BW",1976-04-04,"FDP","41420.003.1976.1.1",NA,NA,NA
"22","HH",1978-06-04,"SPD","41320.007.1978.1.1",NA,NA,NA
"23","HH",1978-06-04,"CDU","41521.007.1978.1.1",NA,NA,NA
"24","NI",1978-06-04,"CDU","41521.009.1978.1.1",NA,NA,NA
"25","NI",1978-06-04,"SPD","41320.009.1978.1.1",NA,NA,NA
"26","HE",1978-10-08,"CDU","41521.006.1978.1.1",NA,NA,NA
"27","HE",1978-10-08,"SPD","41320.006.1978.1.1",NA,NA,NA
"28","HE",1978-10-08,"FDP","41420.006.1978.1.1",NA,NA,NA
"29","BY",1978-10-15,"CSU","41523.004.1978.1.1",NA,NA,NA
"30","BY",1978-10-15,"SPD","41320.004.1978.1.1",NA,NA,NA
"31","BY",1978-10-15,"FDP","41420.004.1978.1.1",NA,NA,NA
"32","BE",1979-03-18,"CDU","41521.002.1979.1.1",NA,NA,NA
"33","BE",1979-03-18,"SPD","41320.002.1979.1.1",NA,NA,NA
"34","BE",1979-03-18,"FDP","41420.002.1979.1.1",NA,NA,NA
"35","RP",1979-03-18,"CDU","41521.011.1979.1.1",NA,NA,NA
"36","RP",1979-03-18,"SPD","41320.011.1979.1.1",NA,NA,NA
"37","RP",1979-03-18,"FDP","41420.011.1979.1.1",NA,NA,NA
"38","SH",1979-04-29,"CDU","41521.012.1979.1.1",NA,NA,NA
"39","SH",1979-04-29,"SPD","41320.012.1979.1.1",NA,NA,NA
"40","SH",1979-04-29,"FDP","41420.012.1979.1.1",NA,NA,NA
"41","SH",1979-04-29,"SSW","41902.012.1979.1.1",NA,NA,NA
"42","HB",1979-10-07,"SPD","41320.005.1979.1.1",NA,NA,NA
"43","HB",1979-10-07,"CDU","41521.005.1979.1.1",NA,NA,NA
"44","HB",1979-10-07,"FDP","41420.005.1979.1.1",NA,NA,NA
"45","HB",1979-10-07,"BGL","41111.005.1979.1.1",NA,NA,NA
"46","BW",1980-03-16,"CDU","41521.003.1980.1.1",NA,NA,NA
"47","BW",1980-03-16,"SPD","41320.003.1980.1.1",NA,NA,NA
"48","BW",1980-03-16,"FDP","41420.003.1980.1.1",NA,NA,NA
"49","BW",1980-03-16,"Grüne","41111.003.1980.1.1",NA,NA,NA
"50","SL",1980-04-27,"SPD","41320.013.1980.1.1",NA,NA,NA
"51","SL",1980-04-27,"CDU","41521.013.1980.1.1",NA,NA,NA
"52","SL",1980-04-27,"FDP","41420.013.1980.1.1",NA,NA,NA
"53","SL",1980-04-27,"Grüne","41111.013.1980.1.1",NA,NA,NA
"54","NW",1980-05-11,"SPD","41320.010.1980.1.1",NA,NA,NA
"55","NW",1980-05-11,"CDU","41521.010.1980.1.1",NA,NA,NA
"56","NW",1980-05-11,"FDP","41420.010.1980.1.1",NA,NA,NA
"57","NW",1980-05-11,"Grüne","41111.010.1980.1.1",NA,NA,NA
"58","BE",1981-05-10,"CDU","41521.002.1981.1.1",NA,NA,NA
"59","BE",1981-05-10,"SPD","41320.002.1981.1.1",NA,NA,NA
"60","BE",1981-05-10,"Grüne","41111.002.1981.1.1",NA,NA,NA
"61","BE",1981-05-10,"FDP","41420.002.1981.1.1",NA,NA,NA
"62","NI",1982-03-21,"CDU","41521.009.1982.1.1",NA,NA,NA
"63","NI",1982-03-21,"SPD","41320.009.1982.1.1",NA,NA,NA
"64","NI",1982-03-21,"Grüne","41111.009.1982.1.1",NA,NA,NA
"65","NI",1982-03-21,"FDP","41420.009.1982.1.1",NA,NA,NA
"66","HH",1982-06-06,"Grüne","41111.007.1982.1.1",NA,NA,NA
"67","HE",1982-09-26,"CDU","41521.006.1982.1.1",NA,NA,NA
"68","HE",1982-09-26,"SPD","41320.006.1982.1.1",NA,NA,NA
"69","HE",1982-09-26,"Grüne","41111.006.1982.1.1",NA,NA,NA
"70","BY",1982-10-10,"CSU","41523.004.1982.1.1",NA,NA,NA
"71","BY",1982-10-10,"SPD","41320.004.1982.1.1",NA,NA,NA
"72","HH",1982-12-19,"SPD","41320.007.1982.1.1",NA,NA,NA
"73","HH",1982-12-19,"CDU","41521.007.1982.1.1",NA,NA,NA
"74","RP",1983-03-06,"CDU","41521.011.1983.1.1",NA,NA,NA
"75","RP",1983-03-06,"SPD","41320.011.1983.1.1",NA,NA,NA
"76","RP",1983-03-06,"Grüne","41111.011.1983.1.1",NA,NA,NA
"77","SH",1983-03-13,"CDU","41521.012.1983.1.1",NA,NA,NA
"78","SH",1983-03-13,"SPD","41320.012.1983.1.1",NA,NA,NA
"79","SH",1983-03-13,"Grüne","41111.012.1983.1.1",NA,NA,NA
"80","SH",1983-03-13,"FDP","41420.012.1983.1.1",NA,NA,NA
"81","SH",1983-03-13,"SSW","41902.012.1983.1.1",NA,NA,NA
"82","HB",1983-09-25,"SPD","41320.005.1983.1.1","41320.005.1984.1.1",NA,NA
"83","HB",1983-09-25,"CDU","41521.005.1983.1.1",NA,NA,NA
"84","HB",1983-09-25,"Grüne","41111.005.1983.1.1",NA,NA,NA
"85","HE",1983-09-25,"CDU","41521.006.1983.1.1",NA,NA,NA
"86","HE",1983-09-25,"FDP","41420.006.1983.1.1",NA,NA,NA
"87","HE",1983-09-25,"Grüne","41111.006.1983.1.1",NA,NA,NA
"88","BW",1984-03-25,"CDU","41521.003.1984.1.1",NA,NA,NA
"89","BW",1984-03-25,"SPD","41320.003.1984.1.1",NA,NA,NA
"90","BW",1984-03-25,"Grüne","41111.003.1984.1.1",NA,NA,NA
"91","BW",1984-03-25,"FDP","41420.003.1984.1.1",NA,NA,NA
"92","BE",1985-03-10,"CDU","41521.002.1985.1.1",NA,NA,NA
"93","BE",1985-03-10,"SPD","41320.002.1985.1.1",NA,NA,NA
"94","BE",1985-03-10,"Grüne","41111.002.1985.1.1",NA,NA,NA
"95","BE",1985-03-10,"FDP","41420.002.1985.1.1",NA,NA,NA
"96","SL",1985-03-10,"SPD","41320.013.1985.1.1",NA,NA,NA
"97","SL",1985-03-10,"CDU","41521.013.1985.1.1",NA,NA,NA
"98","SL",1985-03-10,"FDP","41420.013.1985.1.1",NA,NA,NA
"99","NW",1985-05-12,"SPD","41320.010.1985.1.1",NA,NA,NA
"100","NW",1985-05-12,"CDU","41521.010.1985.1.1",NA,NA,NA
"101","NW",1985-05-12,"FDP","41420.010.1985.1.1",NA,NA,NA
"102","NI",1986-06-15,"CDU","41521.009.1986.1.1",NA,NA,NA
"103","NI",1986-06-15,"SPD","41320.009.1986.1.1",NA,NA,NA
"104","NI",1986-06-15,"Grüne","41111.009.1986.1.1",NA,NA,NA
"105","NI",1986-06-15,"FDP","41420.009.1986.1.1",NA,NA,NA
"106","BY",1986-10-12,"CSU","41523.004.1986.1.1",NA,NA,NA
"107","BY",1986-10-12,"SPD","41320.004.1986.1.1",NA,NA,NA
"108","BY",1986-10-12,"Grüne","41111.004.1986.1.1",NA,NA,NA
"109","BY",1986-10-12,"FDP","41420.004.1986.1.1",NA,NA,NA
"110","HH",1986-11-09,"CDU","41521.007.1986.1.1",NA,NA,NA
"111","HH",1986-11-09,"SPD","41320.007.1986.1.1",NA,NA,NA
"112","HH",1986-11-09,"Grüne","41111.007.1986.1.1",NA,NA,NA
"113","HH",1986-11-09,"FDP","41420.007.1986.1.1",NA,NA,NA
"114","HE",1987-04-05,"CDU","41521.006.1987.1.1",NA,NA,NA
"115","HE",1987-04-05,"SPD","41320.006.1987.1.1",NA,NA,NA
"116","HE",1987-04-05,"Grüne","41111.006.1987.1.1",NA,NA,NA
"117","HE",1987-04-05,"FDP","41420.006.1987.1.1",NA,NA,NA
"118","HH",1987-05-17,"SPD","41320.007.1987.1.1",NA,NA,NA
"119","HH",1987-05-17,"CDU","41521.007.1987.1.1",NA,NA,NA
"120","HH",1987-05-17,"Grüne","41111.007.1987.1.1",NA,NA,NA
"121","HH",1987-05-17,"FDP","41420.007.1987.1.1",NA,NA,NA
"122","RP",1987-05-17,"CDU","41521.011.1987.1.1",NA,NA,NA
"123","RP",1987-05-17,"SPD","41320.011.1987.1.1",NA,NA,NA
"124","RP",1987-05-17,"FDP","41420.011.1987.1.1",NA,NA,NA
"125","RP",1987-05-17,"Grüne","41111.011.1987.1.1",NA,NA,NA
"126","HB",1987-09-13,"SPD","41320.005.1987.1.1",NA,NA,NA
"127","HB",1987-09-13,"CDU","41521.005.1987.1.1",NA,NA,NA
"128","HB",1987-09-13,"Grüne","41111.005.1987.1.1",NA,NA,NA
"129","HB",1987-09-13,"FDP","41420.005.1987.1.1",NA,NA,NA
"130","SH",1987-09-13,"SPD","41320.012.1987.1.1",NA,NA,NA
"131","SH",1987-09-13,"CDU","41521.012.1987.1.1",NA,NA,NA
"132","SH",1987-09-13,"FDP","41420.012.1987.1.1",NA,NA,NA
"133","SH",1987-09-13,"Grüne","41111.012.1987.1.1",NA,NA,NA
"134","BW",1988-03-20,"CDU","41521.003.1988.1.1",NA,NA,NA
"135","BW",1988-03-20,"SPD","41320.003.1988.1.1",NA,NA,NA
"136","BW",1988-03-20,"Grüne","41111.003.1988.1.1",NA,NA,NA
"137","BW",1988-03-20,"FDP","41420.003.1988.1.1",NA,NA,NA
"138","SH",1988-05-08,"SPD","41320.012.1988.1.1",NA,NA,NA
"139","SH",1988-05-08,"CDU","41521.012.1988.1.1",NA,NA,NA
"140","SH",1988-05-08,"Grüne","41111.012.1988.1.1",NA,NA,NA
"141","BE",1989-01-29,"CDU","41521.002.1989.1.1",NA,NA,NA
"142","BE",1989-01-29,"SPD","41320.002.1989.1.1",NA,NA,NA
"143","BE",1989-01-29,"Grüne","41111.002.1989.1.1",NA,NA,NA
"144","BE",1989-01-29,"Rep","41701.002.1989.1.1",NA,NA,NA
"145","SL",1990-01-28,"SPD","41320.013.1990.1.1",NA,NA,NA
"146","SL",1990-01-28,"CDU","41521.013.1990.1.1",NA,NA,NA
"147","SL",1990-01-28,"FDP","41420.013.1990.1.1",NA,NA,NA
"148","SL",1990-01-28,"Grüne","41112.013.1990.1.1",NA,NA,NA
"149","NI",1990-05-13,"SPD","41320.009.1990.1.1",NA,NA,NA
"150","NI",1990-05-13,"CDU","41521.009.1990.1.1",NA,NA,NA
