"","state","election_date","partyname_short","party_pwib"
"1","BB",1990-10-14,"Grüne","b90"
"2","BB",1990-10-14,"FDP","fdp"
"3","BB",1990-10-14,"Linke","pds"
"4","BB",1990-10-14,"SPD","spd"
"5","BB",1994-09-11,"CDU","cdu"
"6","BB",1994-09-11,"FDP","fdp"
"7","BB",1994-09-11,"Grüne","gru"
"8","BB",1994-09-11,"Linke","pds"
"9","BB",1994-09-11,"SPD","spd"
"10","BB",1999-09-05,"CDU","cdu"
"11","BB",1999-09-05,"FDP","fdp"
"12","BB",1999-09-05,"Grüne","gru"
"13","BB",1999-09-05,"Linke","pds"
"14","BB",1999-09-05,"SPD","spd"
"15","BB",2004-09-19,"CDU","cdu"
"16","BB",2004-09-19,"DVU","dvu"
"17","BB",2004-09-19,"FDP","fdp"
"18","BB",2004-09-19,"Grüne","gru"
"19","BB",2004-09-19,"Linke","pds"
"20","BB",2004-09-19,"SPD","spd"
"21","BB",2009-09-27,"CDU","cdu"
"22","BB",2009-09-27,"FDP","fdp"
"23","BB",2009-09-27,"Grüne","gru"
"24","BB",2009-09-27,"Linke","pds"
"25","BB",2009-09-27,"SPD","spd"
"26","BB",2014-09-14,"AfD","afd"
"27","BB",2014-09-14,"CDU","cdu"
"28","BB",2014-09-14,"FDP","fdp"
"29","BB",2014-09-14,"FW-BB","fwg"
"30","BB",2014-09-14,"Grüne","gru"
"31","BB",2014-09-14,"Linke","pds"
"32","BB",2014-09-14,"SPD","spd"
"33","BB",2019-09-01,"AfD","afd"
"34","BB",2019-09-01,"CDU","cdu"
"35","BB",2019-09-01,"FDP","fdp"
"36","BB",2019-09-01,"FW-BB","fwg"
"37","BB",2019-09-01,"Grüne","gru"
"38","BB",2019-09-01,"Linke","pds"
"39","BB",2019-09-01,"SPD","spd"
"40","BE",1990-12-02,"CDU","cdu"
"41","BE",1990-12-02,"FDP","fdp"
"42","BE",1990-12-02,"Grüne","gru"
"43","BE",1990-12-02,"Linke","pds"
"44","BE",1990-12-02,"SPD","spd"
"45","BE",1995-10-22,"CDU","cdu"
"46","BE",1995-10-22,"FDP","fdp"
"47","BE",1995-10-22,"Grüne","gru"
"48","BE",1995-10-22,"Linke","pds"
"49","BE",1995-10-22,"SPD","spd"
"50","BE",1999-10-10,"CDU","cdu"
"51","BE",1999-10-10,"FDP","fdp"
"52","BE",1999-10-10,"Grüne","gru"
"53","BE",1999-10-10,"Linke","pds"
"54","BE",1999-10-10,"SPD","spd"
"55","BE",2001-10-21,"CDU","cdu"
"56","BE",2001-10-21,"FDP","fdp"
"57","BE",2001-10-21,"Grüne","gru"
"58","BE",2001-10-21,"Linke","pds"
"59","BE",2001-10-21,"SPD","spd"
"60","BE",2006-09-17,"CDU","cdu"
"61","BE",2006-09-17,"FDP","fdp"
"62","BE",2006-09-17,"Grüne","gru"
"63","BE",2006-09-17,"Linke","pds"
"64","BE",2006-09-17,"SPD","spd"
"65","BE",2011-09-18,"CDU","cdu"
"66","BE",2011-09-18,"FDP","fdp"
"67","BE",2011-09-18,"Grüne","gru"
"68","BE",2011-09-18,"Linke","pds"
"69","BE",2011-09-18,"Piraten","pir"
"70","BE",2011-09-18,"SPD","spd"
"71","BE",2016-09-18,"AfD","afd"
"72","BE",2016-09-18,"CDU","cdu"
"73","BE",2016-09-18,"FDP","fdp"
"74","BE",2016-09-18,"Grüne","gru"
"75","BE",2016-09-18,"Linke","pds"
"76","BE",2016-09-18,"SPD","spd"
"77","BW",1992-04-05,"CDU","cdu"
"78","BW",1992-04-05,"FDP","fdp"
"79","BW",1992-04-05,"Grüne","gru"
"80","BW",1992-04-05,"Rep","rep"
"81","BW",1992-04-05,"SPD","spd"
"82","BW",1996-03-24,"CDU","cdu"
"83","BW",1996-03-24,"FDP","fdp"
"84","BW",1996-03-24,"Grüne","gru"
"85","BW",1996-03-24,"Rep","rep"
"86","BW",1996-03-24,"SPD","spd"
"87","BW",2001-03-25,"CDU","cdu"
"88","BW",2001-03-25,"FDP","fdp"
"89","BW",2001-03-25,"Grüne","gru"
"90","BW",2001-03-25,"SPD","spd"
"91","BW",2006-03-26,"CDU","cdu"
"92","BW",2006-03-26,"FDP","fdp"
"93","BW",2006-03-26,"Grüne","gru"
"94","BW",2006-03-26,"SPD","spd"
"95","BW",2011-03-27,"CDU","cdu"
"96","BW",2011-03-27,"FDP","fdp"
"97","BW",2011-03-27,"Grüne","gru"
"98","BW",2011-03-27,"Linke","pds"
"99","BW",2011-03-27,"SPD","spd"
"100","BW",2016-03-13,"AfD","afd"
"101","BW",2016-03-13,"CDU","cdu"
"102","BW",2016-03-13,"FDP","fdp"
"103","BW",2016-03-13,"Grüne","gru"
"104","BW",2016-03-13,"Linke","pds"
"105","BW",2016-03-13,"SPD","spd"
"106","BY",1990-10-14,"CSU","csu"
"107","BY",1990-10-14,"FDP","fdp"
"108","BY",1990-10-14,"Grüne","gru"
"109","BY",1990-10-14,"SPD","spd"
"110","BY",1994-09-25,"CSU","csu"
"111","BY",1994-09-25,"FDP","fdp"
"112","BY",1994-09-25,"Grüne","gru"
"113","BY",1994-09-25,"SPD","spd"
"114","BY",1998-09-13,"CSU","csu"
"115","BY",1998-09-13,"FDP","fdp"
"116","BY",1998-09-13,"Grüne","gru"
"117","BY",1998-09-13,"SPD","spd"
"118","BY",2003-09-21,"CSU","csu"
"119","BY",2003-09-21,"FDP","fdp"
"120","BY",2003-09-21,"Grüne","gru"
"121","BY",2003-09-21,"SPD","spd"
"122","BY",2008-09-28,"CSU","csu"
"123","BY",2008-09-28,"FDP","fdp"
"124","BY",2008-09-28,"FW-BY","fwg"
"125","BY",2008-09-28,"Grüne","gru"
"126","BY",2008-09-28,"Linke","pds"
"127","BY",2008-09-28,"SPD","spd"
"128","BY",2013-09-15,"CSU","csu"
"129","BY",2013-09-15,"FDP","fdp"
"130","BY",2013-09-15,"FW-BY","fwg"
"131","BY",2013-09-15,"Grüne","gru"
"132","BY",2013-09-15,"Linke","pds"
"133","BY",2013-09-15,"SPD","spd"
"134","BY",2018-10-14,"AfD","afd"
"135","BY",2018-10-14,"CSU","csu"
"136","BY",2018-10-14,"FDP","fdp"
"137","BY",2018-10-14,"FW-BY","fwg"
"138","BY",2018-10-14,"Grüne","gru"
"139","BY",2018-10-14,"Linke","pds"
"140","BY",2018-10-14,"SPD","spd"
"141","HB",1991-09-29,"CDU","cdu"
"142","HB",1991-09-29,"FDP","fdp"
"143","HB",1991-09-29,"Grüne","gru"
"144","HB",1991-09-29,"SPD","spd"
"145","HB",1995-05-14,"AFB","afb"
"146","HB",1995-05-14,"CDU","cdu"
"147","HB",1995-05-14,"FDP","fdp"
"148","HB",1995-05-14,"Grüne","gru"
"149","HB",1995-05-14,"Linke","pds"
"150","HB",1995-05-14,"SPD","spd"
"151","HB",1999-06-06,"CDU","cdu"
"152","HB",1999-06-06,"FDP","fdp"
"153","HB",1999-06-06,"Grüne","gru"
"154","HB",1999-06-06,"SPD","spd"
"155","HB",2003-05-25,"CDU","cdu"
"156","HB",2003-05-25,"FDP","fdp"
"157","HB",2003-05-25,"Grüne","gru"
"158","HB",2003-05-25,"SPD","spd"
"159","HB",2007-05-13,"CDU","cdu"
"160","HB",2007-05-13,"FDP","fdp"
"161","HB",2007-05-13,"Grüne","gru"
"162","HB",2007-05-13,"Linke","pds"
"163","HB",2007-05-13,"SPD","spd"
"164","HB",2011-05-22,"BIW","biw"
"165","HB",2011-05-22,"CDU","cdu"
"166","HB",2011-05-22,"FDP","fdp"
"167","HB",2011-05-22,"Grüne","gru"
"168","HB",2011-05-22,"Linke","pds"
"169","HB",2011-05-22,"SPD","spd"
"170","HB",2015-05-10,"AfD","afd"
"171","HB",2015-05-10,"BIW","biw"
"172","HB",2015-05-10,"CDU","cdu"
"173","HB",2015-05-10,"FDP","fdp"
"174","HB",2015-05-10,"Grüne","gru"
"175","HB",2015-05-10,"Linke","pds"
"176","HB",2015-05-10,"SPD","spd"
"177","HB",2019-05-26,"AfD","afd"
"178","HB",2019-05-26,"BIW","biw"
"179","HB",2019-05-26,"CDU","cdu"
"180","HB",2019-05-26,"FDP","fdp"
"181","HB",2019-05-26,"Grüne","gru"
"182","HB",2019-05-26,"Linke","pds"
"183","HB",2019-05-26,"SPD","spd"
"184","HE",1991-01-20,"CDU","cdu"
"185","HE",1991-01-20,"FDP","fdp"
"186","HE",1991-01-20,"Grüne","gru"
"187","HE",1991-01-20,"SPD","spd"
"188","HE",1995-02-19,"CDU","cdu"
"189","HE",1995-02-19,"FDP","fdp"
"190","HE",1995-02-19,"Grüne","gru"
"191","HE",1995-02-19,"SPD","spd"
"192","HE",1999-02-07,"CDU","cdu"
"193","HE",1999-02-07,"FDP","fdp"
"194","HE",1999-02-07,"Grüne","gru"
"195","HE",1999-02-07,"SPD","spd"
"196","HE",2003-02-02,"CDU","cdu"
"197","HE",2003-02-02,"FDP","fdp"
"198","HE",2003-02-02,"Grüne","gru"
"199","HE",2003-02-02,"SPD","spd"
"200","HE",2008-01-27,"CDU","cdu"
"201","HE",2008-01-27,"FDP","fdp"
"202","HE",2008-01-27,"Grüne","gru"
"203","HE",2008-01-27,"Linke","pds"
"204","HE",2008-01-27,"SPD","spd"
"205","HE",2009-01-18,"CDU","cdu"
