"","state","period","affiliation","state_bundeslaender","election_date","partyname_short","link_notes"
"1","bb",3,"cdu","BB","1999-09-05","CDU",NA
"2","bb",3,"dvu","BB","1999-09-05","DVU",NA
"3","bb",3,"lin","BB","1999-09-05","Linke",NA
"4","bb",3,"spd","BB","1999-09-05","SPD",NA
"5","bb",4,"cdu","BB","2004-09-19","CDU",NA
"6","bb",4,"dvu","BB","2004-09-19","DVU",NA
"7","bb",4,"lin","BB","2004-09-19","Linke",NA
"8","bb",4,"spd","BB","2004-09-19","SPD",NA
"9","bb",5,"cdu","BB","2009-09-27","CDU",NA
"10","bb",5,"fdp","BB","2009-09-27","FDP",NA
"11","bb",5,"grn","BB","2009-09-27","Grüne",NA
"12","bb",5,"lin","BB","2009-09-27","Linke",NA
"13","bb",5,"spd","BB","2009-09-27","SPD",NA
"14","bb",6,"afd","BB","2014-09-14","AfD",NA
"15","bb",6,"cdu","BB","2014-09-14","CDU",NA
"16","bb",6,"frw","BB","2014-09-14","FW-BB",NA
"17","bb",6,"grn","BB","2014-09-14","Grüne",NA
"18","bb",6,"lin","BB","2014-09-14","Linke",NA
"19","bb",6,"spd","BB","2014-09-14","SPD",NA
"20","bb",7,"afd","BB","2019-09-01","AfD",NA
"21","bb",7,"cdu","BB","2019-09-01","CDU",NA
"22","bb",7,"frw","BB","2019-09-01","FW-BB",NA
"23","bb",7,"grn","BB","2019-09-01","Grüne",NA
"24","bb",7,"lin","BB","2019-09-01","Linke",NA
"25","bb",7,"spd","BB","2019-09-01","SPD",NA
"26","be",14,"cdu","BE","1999-10-10","CDU",NA
"27","be",14,"grn","BE","1999-10-10","Grüne",NA
"28","be",14,"lin","BE","1999-10-10","Linke",NA
"29","be",14,"spd","BE","1999-10-10","SPD",NA
"30","be",15,"cdu","BE","2001-10-21","CDU",NA
"31","be",15,"fdp","BE","2001-10-21","FDP",NA
"32","be",15,"grn","BE","2001-10-21","Grüne",NA
"33","be",15,"lin","BE","2001-10-21","Linke",NA
"34","be",15,"spd","BE","2001-10-21","SPD",NA
"35","be",16,"cdu","BE","2006-09-17","CDU",NA
"36","be",16,"fdp","BE","2006-09-17","FDP",NA
"37","be",16,"grn","BE","2006-09-17","Grüne",NA
"38","be",16,"lin","BE","2006-09-17","Linke",NA
"39","be",16,"spd","BE","2006-09-17","SPD",NA
"40","be",17,"cdu","BE","2011-09-18","CDU",NA
"41","be",17,"grn","BE","2011-09-18","Grüne",NA
"42","be",17,"lin","BE","2011-09-18","Linke",NA
"43","be",17,"pir","BE","2011-09-18","Piraten",NA
"44","be",17,"spd","BE","2011-09-18","SPD",NA
"45","be",18,"afd","BE","2016-09-18","AfD",NA
