"","state","gov_id","landtag_state_abb","cabinet"
"1","BB","10501;10502","bb","Stolpe I"
"2","BB","10503","bb","Stolpe II"
"3","BB","10504","bb","Stolpe III"
"4","BB","10505","bb","Platzeck I"
"5","BB","10506","bb","Platzeck II"
"6","BB","10507","bb","Platzeck III"
"7","BB","10508","bb","Woidke I"
"8","BB","10509","bb","Woidke II"
"9","BE","10420","be","Diepgen III"
"10","BE","10421","be","Diepgen IV"
"11","BE","10422","be","Diepgen V"
"12","BE","10423","be","Wowereit I"
"13","BE","10424","be","Wowereit II"
"14","BE","10429","be","Wowereit III"
"15","BE","10430","be","Wowereit IV"
"16","BE","10431","be","Müller I"
"17","BE","10432","be","Müller II"
"18","BW","10214","bw","Späth IV"
"19","BW","10215","bw","Teufel I"
"20","BW","10216","bw","Teufel II"
"21","BW","10217","bw","Teufel III"
"22","BW","10218","bw","Teufel IV"
"23","BW","10219","bw","Oettinger I"
"24","BW","10220","bw","Oettinger II"
"25","BW","10221","bw","Kabinett Mappus I"
"26","BW","10222","bw","Kabinett Kretschmann I"
"27","BW","10223","bw","Kabinett Kretschmann II"
"28","BY","10316","by","Streibl II"
"29","BY","10317","by","Stoiber I"
"30","BY","10318","by","Stoiber II"
"31","BY","10319","by","Stoiber III"
"32","BY","10320","by","Stoiber IV"
"33","BY","10321","by","Beckstein I"
"34","BY","10322","by","Seehofer I"
"35","BY","10323","by","Seehofer II"
"36","BY","10324","by","Söder I"
"37","HB","10614","hb","Wedemeier II"
"38","HB","10615;10616","hb","Wedemeier III"
"39","HB","10617","hb","Scherf I"
"40","HB","10618","hb","Scherf II"
"41","HB","10619","hb","Scherf III"
"42","HB","10622","hb","Böhrnsen I"
"43","HB","10623","hb","Böhrnsen II"
"44","HB","10624","hb","Böhrnsen III"
"45","HB","10625","hb","Sieling I"
"46","HE","10716","he","Wallmann I"
"47","HE","10717","he","Eichel I"
"48","HE","10718","he","Eichel II"
"49","HE","10719","he","Koch I"
"50","HE","10720","he","Koch II"
"51","HE","10721","he","Koch II (geschäftsführend)"
"52","HE","10722","he","Koch III"
"53","HE","10723","he","Bouffier I"
"54","HE","10724","he","Bouffier II"
"55","HE","10725","he","Bouffier III"
"56","HH","10822","hh","Voscherau II"
"57","HH","10823","hh","Voscherau III"
"58","HH","10824","hh","Runde I"
"59","HH","10825","hh","Von Beust I"
"60","HH","10826","hh","Von Beust II"
"61","HH","10827","hh","Von Beust III"
