"","state","state_election_term","partyname_short","landtag_state_abb","electoralperiod","ppg","link_notes"
"1","BB",1,"Grüne","bb",1,"Bündnis 90",NA
"2","BB",1,"CDU","bb",1,"CDU",NA
"3","BB",1,"FDP","bb",1,"FDP",NA
"4","BB",1,"Linke","bb",1,"PDS-LL",NA
"5","BB",1,"SPD","bb",1,"SPD",NA
"6","BB",1,NA,"bb",1,"fraktionslos",NA
"7","BB",2,"CDU","bb",2,"CDU",NA
"8","BB",2,"Linke","bb",2,"PDS",NA
"9","BB",2,"SPD","bb",2,"SPD",NA
"10","BB",2,NA,"bb",2,"fraktionslos",NA
"11","BB",3,"CDU","bb",3,"CDU",NA
"12","BB",3,"DVU","bb",3,"DVU",NA
"13","BB",3,"Linke","bb",3,"PDS",NA
"14","BB",3,"SPD","bb",3,"SPD",NA
"15","BB",3,NA,"bb",3,"fraktionslos",NA
"16","BB",4,"CDU","bb",4,"CDU",NA
"17","BB",4,"DVU","bb",4,"DVU",NA
"18","BB",4,"Linke","bb",4,"Die Linke",NA
"19","BB",4,"Linke","bb",4,"PDS","1 MdL as PDS MdL in the ppg var. As Linke in ppg_id var."
"20","BB",4,"SPD","bb",4,"SPD",NA
"21","BB",5,"Grüne","bb",5,"Bündnis 90/Die Grünen",NA
"22","BB",5,"CDU","bb",5,"CDU",NA
"23","BB",5,"Linke","bb",5,"Die Linke",NA
"24","BB",5,"FDP","bb",5,"FDP",NA
"25","BB",5,"SPD","bb",5,"SPD",NA
"26","BB",5,NA,"bb",5,"fraktionslos",NA
"27","BB",6,"AfD","bb",6,"AfD",NA
"28","BB",6,"FW-BB","bb",6,"BVB/Freie Wähler",NA
"29","BB",6,"CDU","bb",6,"CDU",NA
"30","BB",6,"Linke","bb",6,"Die Linke",NA
"31","BB",6,"Grüne","bb",6,"GRÜNE",NA
"32","BB",6,"SPD","bb",6,"SPD",NA
"33","BB",6,NA,"bb",6,"fraktionslos",NA
"34","BE",14,"Bü90GrüUFV","be",12,"Bündnis 90/Die Grünen (AL) / UFV",NA
"35","BE",14,"Grüne","be",12,"Bündnis 90/Die Grünen (AL) / UFV","Consisting of politicians from Grüne/AL and Bü90/Grüne/UFV"
"36","BE",14,"CDU","be",12,"CDU",NA
"37","BE",14,"FDP","be",12,"FDP",NA
"38","BE",14,NA,"be",12,"Neues Forum/ Bürgerbewegung","Consisting of people elected from Green/Alternative Lists"
"39","BE",14,"Linke","be",12,"PDS",NA
"40","BE",14,"SPD","be",12,"SPD",NA
"41","BE",14,NA,"be",12,"fraktionslos",NA
"42","BE",15,"CDU","be",13,"CDU",NA
"43","BE",15,"Grüne","be",13,"Grüne",NA
"44","BE",15,"Linke","be",13,"PDS",NA
"45","BE",15,"SPD","be",13,"SPD",NA
"46","BE",15,NA,"be",13,"fraktionslos",NA
"47","BE",16,"CDU","be",14,"CDU",NA
"48","BE",16,NA,"be",14,"FDP","One defector from CDU"
"49","BE",16,"Grüne","be",14,"GRÜNE",NA
"50","BE",16,"Linke","be",14,"PDS",NA
"51","BE",16,"SPD","be",14,"SPD",NA
"52","BE",16,NA,"be",14,"fraktionslos",NA
"53","BE",17,"CDU","be",15,"CDU",NA
"54","BE",17,"FDP","be",15,"FDP",NA
"55","BE",17,"Grüne","be",15,"GRÜNE",NA
"56","BE",17,"Linke","be",15,"PDS",NA
"57","BE",17,"SPD","be",15,"SPD",NA
"58","BE",17,NA,"be",15,"fraktionslos",NA
"59","BE",18,"CDU","be",16,"CDU",NA
"60","BE",18,"Linke","be",16,"Die Linke",NA
"61","BE",18,"FDP","be",16,"FDP",NA
"62","BE",18,"Grüne","be",16,"Grüne",NA
"63","BE",18,"SPD","be",16,"SPD",NA
"64","BE",18,NA,"be",16,"fraktionslos",NA
"65","BE",19,"CDU","be",17,"CDU",NA
"66","BE",19,"Linke","be",17,"Die Linke",NA
"67","BE",19,"Grüne","be",17,"GRÜNE",NA
"68","BE",19,"Piraten","be",17,"PIRATEN",NA
"69","BE",19,"SPD","be",17,"SPD",NA
"70","BE",19,NA,"be",17,"fraktionslos",NA
"71","BE",20,"AfD","be",18,"AfD",NA
"72","BE",20,"CDU","be",18,"CDU",NA
"73","BE",20,"Linke","be",18,"Die Linke",NA
"74","BE",20,"FDP","be",18,"FDP",NA
"75","BE",20,"Grüne","be",18,"GRÜNE",NA
"76","BE",20,"SPD","be",18,"SPD",NA
"77","BE",20,NA,"be",18,"fraktionslos",NA
"78","BW",10,"CDU","bw",10,"CDU",NA
"79","BW",10,"FDP","bw",10,"FDP/DVP",NA
"80","BW",10,"Grüne","bw",10,"GRÜNE",NA
"81","BW",10,"SPD","bw",10,"SPD",NA
"82","BW",11,"CDU","bw",11,"CDU",NA
"83","BW",11,"FDP","bw",11,"FDP/DVP",NA
"84","BW",11,"Grüne","bw",11,"GRÜNE",NA
"85","BW",11,"Rep","bw",11,"REP",NA
"86","BW",11,"SPD","bw",11,"SPD",NA
"87","BW",11,NA,"bw",11,"fraktionslos",NA
"88","BW",12,"CDU","bw",12,"CDU",NA
"89","BW",12,"FDP","bw",12,"FDP/DVP",NA
"90","BW",12,"Grüne","bw",12,"Grüne",NA
"91","BW",12,"Rep","bw",12,"REP",NA
"92","BW",12,"SPD","bw",12,"SPD",NA
"93","BW",13,"CDU","bw",13,"CDU",NA
"94","BW",13,"FDP","bw",13,"FDP/DVP",NA
"95","BW",13,"Grüne","bw",13,"Grüne",NA
"96","BW",13,"SPD","bw",13,"SPD",NA
"97","BW",14,"CDU","bw",14,"CDU",NA
"98","BW",14,"FDP","bw",14,"FDP",NA
"99","BW",14,"FDP","bw",14,"FDP/DVP","1 MdL as FDP/DVP MdL in the ppg var. As FDP in ppg_id var."
"100","BW",14,"Grüne","bw",14,"Grüne",NA
"101","BW",14,"SPD","bw",14,"SPD",NA
"102","BW",15,"CDU","bw",15,"CDU",NA
"103","BW",15,"FDP","bw",15,"FDP/DVP",NA
"104","BW",15,"Grüne","bw",15,"Grüne",NA
"105","BW",15,"SPD","bw",15,"SPD",NA
