"","state","nuts1","state_name_de","state_name_en","state_election_term","election_date","election_id_bundeswahlleiter","election_remarks_wahlleiter","electorate","number_of_voters","turnout","valid_votes","total_seats_parliament","female_party_seats_available","total_female_mps_parliament","partyname_short","partyname","partyname_short_bundeswahlleiter","partyname_bundeswahlleiter","party_vote_count","party_vshare","party_seat_count","party_sshare","party_female_mps","ppeg_id","ches_id","partyfacts_id","decker_neu","url_info","party_remarks_stelzle","party_remarks_bundeswahlleiter","gueltige_stimmzettel_hh_hb","gesamtstimmen_by","ausgefallene_stimmen_be","abgegebene_stimmen_hh","ungueltige_stimmen_except_hh_hb","ungueltige_stimmzettel_hh_hb"
"1","BA",NA,"ehemaliges Land Baden","former state Baden",1,1947-05-18,"BW19","Wahl im ehemaligen Land Baden",694953,471389,0.678303424835924,427824,60,FALSE,NA,"CDU","Christlich Demokratische Union","BCSV","Badische Christlich-Soziale Volkspartei",239312,0.559370208309959,34,0.566666666666667,NA,"DE36",301,1375,"TRUE","https://de.wikipedia.org/wiki/Christlich_Demokratische_Union_Deutschlands",NA,"–",NA,NA,NA,NA,43565,NA
"2","BA",NA,"ehemaliges Land Baden","former state Baden",1,1947-05-18,"BW19","Wahl im ehemaligen Land Baden",694953,471389,0.678303424835924,427824,60,FALSE,NA,"SPD","Sozialdemokratische Partei Deutschlands","SP","Sozialdemokratische Partei",95829,0.223991641422641,13,0.216666666666667,NA,"DE2",302,383,"TRUE","https://de.wikipedia.org/wiki/Sozialdemokratische_Partei_Deutschlands",NA,"–",NA,NA,NA,NA,43565,NA
"3","BA",NA,"ehemaliges Land Baden","former state Baden",1,1947-05-18,"BW19","Wahl im ehemaligen Land Baden",694953,471389,0.678303424835924,427824,60,FALSE,NA,"FDP","Freie Demokratische Partei","Dem.P","Demokratische Partei",60980,0.142535248139422,9,0.15,NA,"DE38",303,573,"TRUE","https://de.wikipedia.org/wiki/Freie_Demokratische_Partei",NA,"–",NA,NA,NA,NA,43565,NA
"4","BA",NA,"ehemaliges Land Baden","former state Baden",1,1947-05-18,"BW19","Wahl im ehemaligen Land Baden",694953,471389,0.678303424835924,427824,60,FALSE,NA,"KPD (1919)","Kommunistische Partei Deutschlands (1919)","KP","Kommunistische Partei",31703,0.0741029021279779,4,0.0666666666666667,NA,NA,NA,1135,NA,"https://de.wikipedia.org/wiki/Kommunistische_Partei_Deutschlands",NA,NA,NA,NA,NA,NA,43565,NA
"5","BB","DE4","Brandenburg","Brandenburg",1,1990-10-14,"BB07",NA,1955403,1312120,0.671022801949266,1273906,88,FALSE,18,"SPD","Sozialdemokratische Partei Deutschlands","SPD","Sozialdemokratische Partei Deutschlands",487134,0.3823939913934,36,0.409090909090909,NA,"DE2",302,383,"TRUE","https://de.wikipedia.org/wiki/Sozialdemokratische_Partei_Deutschlands",NA,"–",NA,NA,NA,NA,38214,NA
"6","BB","DE4","Brandenburg","Brandenburg",1,1990-10-14,"BB07",NA,1955403,1312120,0.671022801949266,1273906,88,FALSE,18,"CDU","Christlich Demokratische Union","CDU","Christlich Demokratische Union Deutschlands",374572,0.294034253704747,27,0.306818181818182,NA,"DE36",301,1375,"TRUE","https://de.wikipedia.org/wiki/Christlich_Demokratische_Union_Deutschlands",NA,"–",NA,NA,NA,NA,38214,NA
"7","BB","DE4","Brandenburg","Brandenburg",1,1990-10-14,"BB07",NA,1955403,1312120,0.671022801949266,1273906,88,FALSE,18,"Linke","Die Linke","PDS-LL","PDS – Linke Liste",170804,0.134078966579952,13,0.147727272727273,NA,"DE3",306,1545,"TRUE","https://de.wikipedia.org/wiki/Die_Linke",NA,"–",NA,NA,NA,NA,38214,NA
"8","BB","DE4","Brandenburg","Brandenburg",1,1990-10-14,"BB07",NA,1955403,1312120,0.671022801949266,1273906,88,FALSE,18,"FDP","Freie Demokratische Partei","FDP","Freie Demokratische Partei",84501,0.0663322097548799,6,0.0681818181818182,NA,"DE38",303,573,"TRUE","https://de.wikipedia.org/wiki/Freie_Demokratische_Partei",NA,"vor 2002: F.D.P.",NA,NA,NA,NA,38214,NA
"9","BB","DE4","Brandenburg","Brandenburg",1,1990-10-14,"BB07",NA,1955403,1312120,0.671022801949266,1273906,88,FALSE,18,"Grüne","Bündnis 90/Die Grünen","Bü.90","Bündnis 90",81725,0.0641530850784909,6,0.0681818181818182,NA,"DE53",304,1816,"TRUE","https://de.wikipedia.org/wiki/B%C3%BCndnis_90/Die_Gr%C3%BCnen_Berlin",NA,NA,NA,NA,NA,NA,38214,NA
"10","BB","DE4","Brandenburg","Brandenburg",1,1990-10-14,"BB07",NA,1955403,1312120,0.671022801949266,1273906,88,FALSE,18,"Grüne (BB 1990)","Grüne (BB 1990)","GRÜNE","BÜNDNIS 90/DIE GRÜNEN",36238,0.0284463688843604,0,0,NA,NA,NA,NA,"TRUE","https://de.wikipedia.org/wiki/B%C3%BCndnis_90/Die_Gr%C3%BCnen_Berlin",NA,"vor 1993: DIE GRÜNEN",NA,NA,NA,NA,38214,NA
